# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LYLY1_2A010307	LYLY1_2A010307	LYLY1_2A010307T1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LYLY1_2A010309	LYLY1_2A010309	LYLY1_2A010309T1	protein_coding	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7
LYLY1_2A010310	LYLY1_2A010310	LYLY1_2A010310T1	protein_coding	0	1	1	33	0	0	4	1	0	17	1	0	0	0	0	0	0	0	1	11
LYLY1_2A010311	LYLY1_2A010311	LYLY1_2A010311T1	protein_coding	0	0	3	6	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	2
LYLY1_2A010312	LYLY1_2A010312	LYLY1_2A010312T1	protein_coding	0	2	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	3
LYLY1_2A010313	LYLY1_2A010313	LYLY1_2A010313T1	protein_coding	0	0	0	45	0	0	0	2	0	39	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010314	LYLY1_2A010314	LYLY1_2A010314T1	protein_coding	0	0	0	49	4	0	0	1	0	36	0	0	0	0	0	0	0	0	0	8
LYLY1_2A010315	LYLY1_2A010315	LYLY1_2A010315T1	protein_coding	0	1	0	564	0	0	0	7	0	556	0	0	0	0	0	0	0	0	1	1
LYLY1_2A010316	LYLY1_2A010316	LYLY1_2A010316T1	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010319	LYLY1_2A010319	LYLY1_2A010319T1	protein_coding	0	0	0	19	1	0	0	6	0	8	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010320	LYLY1_2A010320	LYLY1_2A010320T1	protein_coding	0	0	0	34	5	0	2	1	0	24	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010321	LYLY1_2A010321	LYLY1_2A010321T1	protein_coding	0	0	1	6	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	3
LYLY1_2A010323	LYLY1_2A010323	LYLY1_2A010323T2	protein_coding	0	1	0	11	0	0	0	3	0	4	0	0	0	0	0	0	0	0	1	4
LYLY1_2A010324	LYLY1_2A010324	LYLY1_2A010324T1	protein_coding	0	0	0	95	0	0	0	15	0	70	0	0	0	0	0	0	0	0	0	10
LYLY1_2A010329	LYLY1_2A010329	LYLY1_2A010329T3	protein_coding	0	0	2	28	0	0	7	5	0	13	2	0	0	0	0	0	0	0	0	3
LYLY1_2A010331	LYLY1_2A010331	LYLY1_2A010331T1	protein_coding	0	1	0	154	3	0	0	18	0	130	0	0	0	0	0	0	0	0	1	3
LYLY1_2A010336	LYLY1_2A010336	LYLY1_2A010336T4	protein_coding	0	1	1	59	0	0	0	7	0	48	1	0	0	0	0	0	0	0	1	4
LYLY1_2A010338	LYLY1_2A010338	LYLY1_2A010338T1	protein_coding	0	0	0	17	1	0	0	7	0	1	0	0	0	0	0	0	0	0	0	8
LYLY1_2A010344	LYLY1_2A010344	LYLY1_2A010344T3	protein_coding	0	1	1	215	0	0	0	5	0	208	1	0	0	0	0	0	0	0	1	2
LYLY1_2A010345	LYLY1_2A010345	LYLY1_2A010345T1	protein_coding	0	0	2	94	0	0	0	6	0	87	2	0	0	0	0	0	0	0	0	1
LYLY1_2A010346	LYLY1_2A010346	LYLY1_2A010346T1	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010347	LYLY1_2A010347	LYLY1_2A010347T1	protein_coding	0	2	1	15	4	0	0	7	0	3	1	0	0	1	0	0	0	0	1	2
LYLY1_2A010348	LYLY1_2A010348	LYLY1_2A010348T1	protein_coding	0	1	0	47	0	0	0	28	0	16	0	0	0	1	0	0	0	0	0	4
LYLY1_2A010349	LYLY1_2A010349	LYLY1_2A010349T1	protein_coding	0	2	0	72	0	0	0	6	0	65	0	0	0	0	0	0	0	0	2	1
LYLY1_2A010351	LYLY1_2A010351	LYLY1_2A010351T1	protein_coding	0	2	4	55	0	0	0	3	0	49	4	0	0	0	0	0	0	0	2	3
LYLY1_2A010354	LYLY1_2A010354	LYLY1_2A010354T1	protein_coding	0	3	0	35	4	1	2	3	0	20	0	0	0	0	0	0	0	0	2	6
LYLY1_2A010356	LYLY1_2A010356	LYLY1_2A010356T1	protein_coding	0	1	1	55	7	0	0	6	0	39	1	0	0	1	0	0	0	0	0	4
LYLY1_2A010358	LYLY1_2A010358	LYLY1_2A010358T1	protein_coding	0	0	1	24	0	0	0	2	0	13	1	0	0	0	0	0	0	0	0	9
LYLY1_2A010361	LYLY1_2A010361	LYLY1_2A010361T2	protein_coding	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010363	LYLY1_2A010363	LYLY1_2A010363T1	protein_coding	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010366	LYLY1_2A010366	LYLY1_2A010366T1	protein_coding	0	4	1	278	0	0	0	10	0	256	1	0	0	3	0	0	0	0	1	15
LYLY1_2A010367	LYLY1_2A010367	LYLY1_2A010367T1	protein_coding	0	3	3	48	2	0	0	10	0	34	3	0	0	0	0	0	0	0	3	2
LYLY1_2A010368	LYLY1_2A010368	LYLY1_2A010368T1	protein_coding	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010369	LYLY1_2A010369	LYLY1_2A010369T1	protein_coding	0	3	1	6	0	0	0	4	0	0	1	0	0	0	0	0	0	0	3	2
LYLY1_2A010370	LYLY1_2A010370	LYLY1_2A010370T1	protein_coding	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010372	LYLY1_2A010372	LYLY1_2A010372T1	protein_coding	0	1	2	10	0	0	0	0	0	7	2	0	0	0	0	0	0	0	1	3
LYLY1_2A010378	LYLY1_2A010378	LYLY1_2A010378T1	protein_coding	1	2	0	74	0	0	0	7	0	61	0	1	0	1	0	0	0	0	1	8
LYLY1_2A010379	LYLY1_2A010379	LYLY1_2A010379T1	protein_coding	0	1	0	21	0	1	3	13	0	0	0	0	0	0	0	0	0	0	0	5
LYLY1_2A010381	LYLY1_2A010381	LYLY1_2A010381T2	protein_coding	0	2	2	47	2	0	0	0	0	43	2	0	0	1	0	0	0	0	1	3
LYLY1_2A010382	LYLY1_2A010382	LYLY1_2A010382T1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010384	LYLY1_2A010384	LYLY1_2A010384T1	protein_coding	0	2	3	46	0	0	0	2	0	39	3	0	0	0	0	0	0	0	2	5
LYLY1_2A010386	LYLY1_2A010386	LYLY1_2A010386T2	protein_coding	0	0	0	69	0	0	0	5	0	63	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010389	LYLY1_2A010389	LYLY1_2A010389T2	protein_coding	0	1	2	28	0	0	0	8	0	11	2	0	0	0	0	0	0	0	1	9
LYLY1_2A010392	LYLY1_2A010392	LYLY1_2A010392T1	protein_coding	0	0	0	35	1	0	0	5	0	28	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010393	LYLY1_2A010393	LYLY1_2A010393T1	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010394	LYLY1_2A010394	LYLY1_2A010394T1	protein_coding	0	0	0	17	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	7
LYLY1_2A010395	LYLY1_2A010395	LYLY1_2A010395T1	protein_coding	0	0	1	8	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	6
LYLY1_2A010396	LYLY1_2A010396	LYLY1_2A010396T1	protein_coding	0	0	0	26	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	9
LYLY1_2A010399	LYLY1_2A010399	LYLY1_2A010399T1	protein_coding	0	1	1	15	0	0	0	7	0	5	1	0	0	0	0	0	0	0	1	3
LYLY1_2A010400	LYLY1_2A010400	LYLY1_2A010400T1	protein_coding	0	0	0	25	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	6
LYLY1_2A010402	LYLY1_2A010402	LYLY1_2A010402T1	protein_coding	0	0	0	40	4	0	1	12	0	20	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010403	LYLY1_2A010403	LYLY1_2A010403T1	protein_coding	0	0	0	18	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8
LYLY1_2A010405	LYLY1_2A010405	LYLY1_2A010405T1	protein_coding	0	0	0	30	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	12
LYLY1_2A010410	LYLY1_2A010410	LYLY1_2A010410T1	protein_coding	0	5	1	68	0	0	0	6	0	61	1	0	0	0	0	0	0	0	5	1
LYLY1_2A010411	LYLY1_2A010411	LYLY1_2A010411T1	protein_coding	0	0	0	18	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	8
LYLY1_2A010413	LYLY1_2A010413	LYLY1_2A010413T1	protein_coding	1	0	2	72	0	0	0	11	0	50	2	0	0	0	0	1	0	0	0	11
LYLY1_2A010414	LYLY1_2A010414	LYLY1_2A010414T1	protein_coding	0	3	0	470	0	0	0	7	0	450	0	0	0	2	0	0	0	0	1	15
LYLY1_2A010415	LYLY1_2A010415	LYLY1_2A010415T1	protein_coding	0	1	2	17	0	0	1	7	0	2	2	0	0	0	0	0	0	0	1	7
LYLY1_2A010416	LYLY1_2A010416	LYLY1_2A010416T1	protein_coding	0	1	0	16	0	0	0	5	0	7	0	0	0	0	0	0	0	0	1	4
LYLY1_2A010418	LYLY1_2A010418	LYLY1_2A010418T2	protein_coding	0	0	0	166	1	0	0	11	0	150	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010420	LYLY1_2A010420	LYLY1_2A010420T1	protein_coding	0	0	0	29	6	0	0	3	0	16	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010421	LYLY1_2A010421	LYLY1_2A010421T1	protein_coding	0	2	0	30	1	0	0	13	0	8	0	0	0	0	0	0	0	0	2	8
LYLY1_2A010423	LYLY1_2A010423	LYLY1_2A010423T1	protein_coding	0	1	2	44	0	0	0	6	0	36	2	0	0	0	0	0	0	0	1	2
LYLY1_2A010424	LYLY1_2A010424	LYLY1_2A010424T1	protein_coding	0	1	1	21	0	0	0	3	0	15	1	0	0	0	0	0	0	0	1	3
LYLY1_2A010425	LYLY1_2A010425	LYLY1_2A010425T1	protein_coding	0	2	0	26	0	0	0	11	0	7	0	0	0	0	0	0	0	0	2	8
LYLY1_2A010427	LYLY1_2A010427	LYLY1_2A010427T2	protein_coding	0	0	1	35	0	0	0	4	0	28	1	0	0	0	0	0	0	0	0	3
LYLY1_2A010430	LYLY1_2A010430	LYLY1_2A010430T1	protein_coding	0	1	1	198	5	0	0	12	0	179	1	0	0	0	0	0	0	0	1	2
LYLY1_2A010431	LYLY1_2A010431	LYLY1_2A010431T1	protein_coding	0	1	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	6
LYLY1_2A010432	LYLY1_2A010432	LYLY1_2A010432T1	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010433	LYLY1_2A010433	LYLY1_2A010433T1	protein_coding	0	0	0	7	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010434	LYLY1_2A010434	LYLY1_2A010434T1	protein_coding	0	1	2	18	0	0	0	11	0	0	2	0	0	0	0	0	0	0	1	7
LYLY1_2A010435	LYLY1_2A010435	LYLY1_2A010435T1	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010442	LYLY1_2A010442	LYLY1_2A010442T5	protein_coding	0	0	1	5	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	2
LYLY1_2A010446	LYLY1_2A010446	LYLY1_2A010446T1	protein_coding	0	0	0	10	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010448	LYLY1_2A010448	LYLY1_2A010448T1	protein_coding	0	0	1	32	0	0	0	2	0	27	1	0	0	0	0	0	0	0	0	3
LYLY1_2A010449	LYLY1_2A010449	LYLY1_2A010449T1	protein_coding	0	1	0	45	0	0	0	18	0	2	0	0	0	1	0	0	0	0	0	26
LYLY1_2A010450	LYLY1_2A010450	LYLY1_2A010450T1	protein_coding	0	5	0	32	0	0	0	16	0	12	0	0	0	1	0	0	0	0	4	5
LYLY1_2A010452	LYLY1_2A010452	LYLY1_2A010452T1	protein_coding	0	2	0	75	0	0	0	7	0	68	0	0	0	0	0	0	0	0	2	0
LYLY1_2A010453	LYLY1_2A010453	LYLY1_2A010453T1	protein_coding	0	5	1	36	0	0	0	4	0	25	1	0	0	2	0	0	0	0	3	9
LYLY1_2A010456	LYLY1_2A010456	LYLY1_2A010456T1	protein_coding	0	0	0	47	0	0	0	4	0	39	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010457	LYLY1_2A010457	LYLY1_2A010457T1	protein_coding	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LYLY1_2A010459	LYLY1_2A010459	LYLY1_2A010459T2	protein_coding	0	0	0	10	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010466	LYLY1_2A010466	LYLY1_2A010466T3	protein_coding	0	0	0	25	2	0	1	0	0	18	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010467	LYLY1_2A010467	LYLY1_2A010467T1	protein_coding	0	4	2	169	0	0	0	2	0	165	2	0	0	1	0	0	0	0	3	3
LYLY1_2A010468	LYLY1_2A010468	LYLY1_2A010468T1	protein_coding	0	2	1	133	0	0	0	3	0	125	1	0	0	0	0	0	0	0	2	5
LYLY1_2A010471	LYLY1_2A010471	LYLY1_2A010471T1	protein_coding	0	0	0	12	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010475	LYLY1_2A010475	LYLY1_2A010475T1	protein_coding	0	0	2	27	1	0	0	3	0	20	2	0	0	0	0	0	0	0	0	3
LYLY1_2A010476	LYLY1_2A010476	LYLY1_2A010476T1	protein_coding	0	0	1	19	3	0	1	3	0	8	1	0	0	0	0	0	0	0	0	4
LYLY1_2A010477	LYLY1_2A010477	LYLY1_2A010477T1	protein_coding	0	1	1	11	0	0	0	0	0	12	1	0	0	1	0	0	0	0	0	0
LYLY1_2A010478	LYLY1_2A010478	LYLY1_2A010478T1	protein_coding	0	0	0	43	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	15
LYLY1_2A010479	LYLY1_2A010479	LYLY1_2A010479T1	protein_coding	0	0	2	42	0	0	0	22	0	0	2	0	0	0	0	0	0	0	0	20
LYLY1_2A010480	LYLY1_2A010480	LYLY1_2A010480T1	protein_coding	0	1	1	18	0	0	0	12	0	3	1	0	0	1	0	0	0	0	0	4
LYLY1_2A010484	LYLY1_2A010484	LYLY1_2A010484T1	protein_coding	0	1	0	9	1	0	0	3	0	2	0	0	0	0	0	0	0	0	1	3
LYLY1_2A010487	LYLY1_2A010487	LYLY1_2A010487T1	protein_coding	0	1	0	35	0	0	0	4	0	25	0	0	0	0	0	0	0	0	1	6
LYLY1_2A010489	LYLY1_2A010489	LYLY1_2A010489T1	protein_coding	0	0	3	54	2	0	0	9	0	38	3	0	0	0	0	0	0	0	0	5
LYLY1_2A010490	LYLY1_2A010490	LYLY1_2A010490T1	protein_coding	0	1	0	37	0	0	0	5	0	18	0	0	0	0	0	0	0	0	1	14
LYLY1_2A010493	LYLY1_2A010493	LYLY1_2A010493T2	protein_coding	0	0	0	11	3	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010494	LYLY1_2A010494	LYLY1_2A010494T1	protein_coding	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010495	LYLY1_2A010495	LYLY1_2A010495T1	protein_coding	0	2	1	76	0	0	0	9	0	64	1	0	0	0	0	0	0	0	2	3
LYLY1_2A010496	LYLY1_2A010496	LYLY1_2A010496T1	protein_coding	0	0	2	39	0	0	0	22	0	0	2	0	0	0	0	0	0	0	0	17
LYLY1_2A010497	LYLY1_2A010497	LYLY1_2A010497T1	protein_coding	0	1	0	35	0	0	0	7	0	25	0	0	0	0	0	0	0	0	1	3
LYLY1_2A010498	LYLY1_2A010498	LYLY1_2A010498T1	protein_coding	0	0	2	26	0	0	0	3	0	20	2	0	0	0	0	0	0	0	0	3
LYLY1_2A010499	LYLY1_2A010499	LYLY1_2A010499T1	protein_coding	0	0	1	31	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	15
LYLY1_2A010500	LYLY1_2A010500	LYLY1_2A010500T1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010504	LYLY1_2A010504	LYLY1_2A010504T4	protein_coding	0	1	0	30	9	0	0	2	0	17	0	0	0	0	0	0	0	0	1	2
LYLY1_2A010505	LYLY1_2A010505	LYLY1_2A010505T1	protein_coding	0	0	0	28	0	0	0	5	0	21	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010506	LYLY1_2A010506	LYLY1_2A010506T1	protein_coding	0	1	1	17	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	6
LYLY1_2A010507	LYLY1_2A010507	LYLY1_2A010507T1	protein_coding	0	0	0	20	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6
LYLY1_2A010508	LYLY1_2A010508	LYLY1_2A010508T1	protein_coding	0	1	0	144	1	0	0	2	0	136	0	0	0	0	0	0	0	0	1	5
LYLY1_2A010510	LYLY1_2A010510	LYLY1_2A010510T1	protein_coding	0	4	0	65	0	1	1	23	0	37	0	0	0	2	0	0	0	0	1	6
LYLY1_2A010511	LYLY1_2A010511	LYLY1_2A010511T1	protein_coding	0	3	2	58	0	0	0	8	0	46	2	0	0	0	0	0	0	0	3	4
LYLY1_2A010514	LYLY1_2A010514	LYLY1_2A010514T1	protein_coding	0	2	1	36	8	0	3	8	0	11	1	0	0	0	0	0	0	0	2	6
LYLY1_2A010516	LYLY1_2A010516	LYLY1_2A010516T1	protein_coding	0	0	0	62	6	0	0	8	0	46	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010517	LYLY1_2A010517	LYLY1_2A010517T1	protein_coding	0	0	1	39	0	0	0	9	0	29	1	0	0	0	0	0	0	0	0	1
LYLY1_2A010518	LYLY1_2A010518	LYLY1_2A010518T1	protein_coding	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010519	LYLY1_2A010519	LYLY1_2A010519T1	protein_coding	0	2	2	18	3	0	1	4	0	0	2	0	0	0	0	0	0	0	2	10
LYLY1_2A010521	LYLY1_2A010521	LYLY1_2A010521T1	protein_coding	0	0	1	12	7	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0
LYLY1_2A010522	LYLY1_2A010522	LYLY1_2A010522T1	protein_coding	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5
LYLY1_2A010523	LYLY1_2A010523	LYLY1_2A010523T1	protein_coding	0	1	1	23	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	12
LYLY1_2A010524	LYLY1_2A010524	LYLY1_2A010524T1	protein_coding	0	7	0	37	0	0	0	7	0	21	0	0	0	1	0	0	0	0	6	10
LYLY1_2A010528	LYLY1_2A010528	LYLY1_2A010528T3	protein_coding	0	1	0	21	0	0	0	5	0	9	0	0	0	1	0	0	0	0	0	8
LYLY1_2A010529	LYLY1_2A010529	LYLY1_2A010529T1	protein_coding	0	1	0	127	0	0	0	12	0	108	0	0	0	0	0	0	0	0	1	7
LYLY1_2A010530	LYLY1_2A010530	LYLY1_2A010530T1	protein_coding	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010531	LYLY1_2A010531	LYLY1_2A010531T1	protein_coding	0	2	2	22	0	0	0	2	0	18	2	0	0	0	0	0	0	0	2	2
LYLY1_2A010533	LYLY1_2A010533	LYLY1_2A010533T1	protein_coding	0	0	0	17	1	0	1	4	0	5	0	0	0	0	0	0	0	0	0	6
LYLY1_2A010534	LYLY1_2A010534	LYLY1_2A010534T1	protein_coding	0	0	1	11	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	3
LYLY1_2A010535	LYLY1_2A010535	LYLY1_2A010535T1	protein_coding	0	2	0	22	0	0	0	4	0	11	0	0	0	0	0	0	0	0	2	7
LYLY1_2A010536	LYLY1_2A010536	LYLY1_2A010536T1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LYLY1_2A010537	LYLY1_2A010537	LYLY1_2A010537T1	protein_coding	0	1	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4
LYLY1_2A010541	LYLY1_2A010541	LYLY1_2A010541T1	protein_coding	0	2	0	14	1	0	1	3	0	8	0	0	0	0	0	0	0	0	2	1
LYLY1_2A010542	LYLY1_2A010542	LYLY1_2A010542T1	protein_coding	0	0	0	8	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010544	LYLY1_2A010544	LYLY1_2A010544T2	protein_coding	1	5	2	667	0	0	0	33	0	616	2	0	1	1	0	0	0	0	4	20
LYLY1_2A010545	LYLY1_2A010545	LYLY1_2A010545T1	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1
LYLY1_2A010546	LYLY1_2A010546	LYLY1_2A010546T1	protein_coding	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
LYLY1_2A010547	LYLY1_2A010547	LYLY1_2A010547T1	protein_coding	0	0	0	8	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010549	LYLY1_2A010549	LYLY1_2A010549T1	protein_coding	0	0	0	13	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010552	LYLY1_2A010552	LYLY1_2A010552T1	protein_coding	0	0	0	88	0	0	0	4	0	82	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010554	LYLY1_2A010554	LYLY1_2A010554T2	protein_coding	0	2	0	25	2	0	0	5	0	18	0	0	0	1	0	0	0	0	1	1
LYLY1_2A010556	LYLY1_2A010556	LYLY1_2A010556T2	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
LYLY1_2A010557	LYLY1_2A010557	LYLY1_2A010557T1	protein_coding	0	1	2	11	1	0	0	0	0	4	2	0	0	0	0	0	0	0	1	6
LYLY1_2A010558	LYLY1_2A010558	LYLY1_2A010558T1	protein_coding	0	1	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0
LYLY1_2A010559	LYLY1_2A010559	LYLY1_2A010559T1	protein_coding	0	1	0	11	2	0	0	1	0	7	0	0	0	0	0	0	0	0	1	1
LYLY1_2A010560	LYLY1_2A010560	LYLY1_2A010560T1	protein_coding	0	1	0	54	0	0	0	10	0	40	0	0	0	1	0	0	0	0	0	5
LYLY1_2A010562	LYLY1_2A010562	LYLY1_2A010562T2	protein_coding	0	2	0	120	0	0	0	3	0	115	0	0	0	1	0	0	0	0	1	3
LYLY1_2A010563	LYLY1_2A010563	LYLY1_2A010563T1	protein_coding	0	1	1	6	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	4
LYLY1_2A010567	LYLY1_2A010567	LYLY1_2A010567T3	protein_coding	0	0	0	85	3	0	0	3	0	77	0	0	0	0	0	0	0	0	0	2
LYLY1_2A010568	LYLY1_2A010568	LYLY1_2A010568T1	protein_coding	0	6	13	13	0	0	0	0	0	5	13	0	0	2	0	0	0	0	4	10
LYLY1_2A010572	LYLY1_2A010572	LYLY1_2A010572T1	protein_coding	0	0	1	41	2	0	0	6	0	17	1	0	0	0	0	0	0	0	0	16
LYLY1_2A010574	LYLY1_2A010574	LYLY1_2A010574T2	protein_coding	0	2	0	53	0	0	0	1	0	51	0	0	0	0	0	0	0	0	2	1
LYLY1_2A010576	LYLY1_2A010576	LYLY1_2A010576T1	protein_coding	0	1	0	29	4	1	1	11	0	9	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010578	LYLY1_2A010578	LYLY1_2A010578T1	protein_coding	0	0	0	51	1	0	0	5	0	45	0	0	0	0	0	0	0	0	0	0
LYLY1_2A010579	LYLY1_2A010579	LYLY1_2A010579T1	protein_coding	0	0	1	50	2	0	0	8	0	36	1	0	0	0	0	0	0	0	0	4
LYLY1_2A010581	LYLY1_2A010581	LYLY1_2A010581T2	protein_coding	0	2	1	22	3	0	0	5	0	11	1	0	0	0	0	0	0	0	2	3
LYLY1_2A010582	LYLY1_2A010582	LYLY1_2A010582T1	protein_coding	0	3	0	17	0	0	0	4	0	12	0	0	0	1	0	0	0	0	3	1
LYLY1_2A010583	LYLY1_2A010583	LYLY1_2A010583T1	protein_coding	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18
LYLY1_2A010584	LYLY1_2A010584	LYLY1_2A010584T1	protein_coding	0	1	4	29	3	0	0	14	0	3	4	0	0	0	0	0	0	0	1	9
LYLY1_2A010586	LYLY1_2A010586	LYLY1_2A010586T2	protein_coding	0	0	0	112	1	0	0	0	0	102	0	0	0	0	0	0	0	0	0	9
LYLY1_2A010587	LYLY1_2A010587	LYLY1_2A010587T1	protein_coding	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
LYLY1_2A010589	LYLY1_2A010589	LYLY1_2A010589T1	protein_coding	0	1	0	27	2	0	0	6	0	17	0	0	0	0	0	0	0	0	1	2
LYLY1_2A010591	LYLY1_2A010591	LYLY1_2A010591T1	protein_coding	0	0	0	14	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	5
LYLY1_2A010599	LYLY1_2A010599	LYLY1_2A010599T1	protein_coding	0	1	0	6	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	3
LYLY1_2A010600	LYLY1_2A010600	LYLY1_2A010600T1	protein_coding	0	1	0	21	5	0	0	9	0	3	0	0	0	0	0	0	0	0	1	4
LYLY1_2A010601	LYLY1_2A010601	LYLY1_2A010601T1	protein_coding	0	0	0	24	1	0	0	3	0	13	0	0	0	0	0	0	0	0	0	7
LYLY1_2A010603	LYLY1_2A010603	LYLY1_2A010603T1	protein_coding	0	1	0	15	0	0	1	2	0	10	0	0	0	0	0	0	0	0	1	2
LYLY1_2A010606	LYLY1_2A010606	LYLY1_2A010606T1	protein_coding	0	2	0	49	0	0	0	2	0	43	0	0	0	0	0	0	0	0	2	4
LYLY1_2A010607	LYLY1_2A010607	LYLY1_2A010607T1	protein_coding	0	0	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3
LYLY1_2A010611	LYLY1_2A010611	LYLY1_2A010611T1	protein_coding	0	2	0	34	0	1	4	2	0	26	0	0	0	1	0	0	0	0	1	2
LYLY1_2A010612	LYLY1_2A010612	LYLY1_2A010612T1	protein_coding	0	0	1	13	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	8
